,Item,Unit_Retail,Unit_Retail,Unit_Retail,Unit_Retail,Unit_Retail,Total_units,Total_units,Total_units,Total_units,Total_units,Item,Slope,Intercept,R_squared,predicted_min_quantity,predicted_max_quantity,predicted_median_quantity,predicted_average_quantity,min_avg_elasticity,max_avg_elasticity,avg_elasticity
,,mean,sum,min,max,median,mean,sum,min,max,median,count,,,,,,,,,,
0,1000,1.9899998416695959,1132.30990991,1.98990991,1.99,1.99,18.36731107205624,10451.0,2.0,111.0,16.0,569,-1030034.1286251913,2049786.1201894828,0.10976754772388657,111.0,18.204225352266803,18.204225352266803,18.36731107207015,-31688.39824443022,-112096.34783365998,-71892.3730390451
1,1001,4.989988498178572,2794.3935589800003,4.98962963,4.99,4.99,13.541071428571428,7583.0,1.0,183.0,8.0,560,-91592.7036552508,457060.0788282085,0.08966940556187997,46.41077815979952,12.487588506948669,12.487588506948669,13.541071428568102,-15246.572242264949,-35118.754913696204,-25182.663577980577
2,1002,3.9900000000000007,19.950000000000003,3.99,3.99,3.99,1.0,5.0,1.0,1.0,1.0,5,inf,0.0,0.0,inf,inf,inf,inf,,,
3,1003,3.99,3.99,3.99,3.99,3.99,1.0,1.0,1.0,1.0,1.0,1,inf,0.0,0.0,inf,inf,inf,inf,,,
4,942700005,9.99,279.72,9.99,9.99,9.99,1.0,28.0,1.0,1.0,1.0,28,inf,0.0,0.0,inf,inf,inf,inf,,,
5,1125101215,4.253157894736842,80.81,3.74,4.99,4.49,1.3157894736842106,25.0,1.0,3.0,1.0,19,0.22012578616352207,0.3795597484276728,0.033208631533289984,1.2028301886792454,1.4779874213836481,1.367924528301887,1.3157894736842106,0.6985970100213575,0.7282819905213276,0.7134395002713425
6,1125101270,4.7763207547169815,1012.58,4.49,4.99,4.69,1.3254716981132075,281.0,1.0,5.0,1.0,212,0.05174603602026767,1.0783160322952705,0.0003178476348163058,1.3106557340262723,1.3365287520364062,1.321004941230326,1.3254716981132075,0.18189384993417507,0.18984534188589935,0.1858695959100372
7,1125102511,4.7978125,614.12,4.49,4.99,4.99,1.3125,168.0,1.0,4.0,1.0,128,-0.33811098860712857,2.9346931275266392,0.012260330893186393,1.416574788680632,1.2475192943770677,1.2475192943770677,1.3125000000000002,-1.1506872143620608,-1.2927117260190342,-1.2216994701905475
8,1125102512,4.778695652173914,549.5500000000001,4.49,4.99,4.69,1.4,161.0,1.0,6.0,1.0,115,-0.014664626370823903,1.470077786279011,1.551812314372914e-05,1.4042336138740117,1.3969013006885997,1.401300688599847,1.4,-0.04847026938537976,-0.051218922825111056,-0.04984459610524541
9,1125108802,4.771297709923664,1250.0800000000002,4.49,4.99,4.69,1.6908396946564885,443.0,1.0,7.0,1.0,262,0.2182972396483067,0.6492785750398655,0.0023569060556539053,1.6294331810607625,1.7385818008849159,1.673092628990424,1.6908396946564885,0.6089004733385918,0.6213480460864936,0.6151242597125427
10,1125108803,4.777136929460581,1151.29,4.49,4.99,4.69,1.4315352697095436,345.0,1.0,5.0,1.0,241,-0.11672888888888892,1.9891651555555558,0.0014572246643175248,1.4650524444444446,1.406688,1.4417066666666667,1.4315352697095438,-0.3734541134974976,-0.4016974469800102,-0.3875757802387539
11,1125108805,4.786093750000001,1531.5500000000002,4.49,4.99,4.99,1.68125,538.0,1.0,6.0,1.0,320,-0.1805721141606954,2.5454850670087907,0.001622279467784651,1.7347162744272682,1.6444302173469207,1.6444302173469207,1.68125,-0.49034554940714137,-0.5308056702093056,-0.5105756098082235
12,1125108806,4.7537931034482765,275.72,4.49,4.99,4.69,1.2241379310344827,71.0,1.0,4.0,1.0,58,-0.6601604128105895,4.3624039486230295,0.07407138282917665,1.3982836951034825,1.0682034886981882,1.2662516125413648,1.2241379310344822,-2.327004250683767,-2.806068250628884,-2.5665362506563256
13,1312000026,4.996826550583519,2243.575121212,2.99,5.99,5.28,2.645879732739421,1188.0,1.0,42.0,2.0,449,-1.0976060524926616,8.13042679791592,0.1148581398117082,4.848584700962862,1.5557665434848769,2.335066840754666,2.645879732739421,-1.169715226441997,-2.8701148375689156,-2.019915032005456
14,1312000045,2.99,38.870000000000005,2.99,2.99,2.99,1.0769230769230769,14.0,1.0,2.0,1.0,13,inf,0.0,0.0,inf,inf,inf,inf,,,
15,1312000047,6.49,110.33,6.49,6.49,6.49,1.1764705882352942,20.0,1.0,3.0,1.0,17,inf,0.0,0.0,inf,inf,inf,inf,,,
16,1312000052,6.49,51.92,6.49,6.49,6.49,1.375,11.0,1.0,2.0,1.0,8,inf,0.0,0.0,inf,inf,inf,inf,,,
17,1312000053,2.99,77.74000000000001,2.99,2.99,2.99,1.5,39.0,1.0,5.0,1.0,26,inf,0.0,0.0,inf,inf,inf,inf,,,
18,1312000082,4.995076289459203,2632.4052045450003,2.823333333,5.99,5.28,4.275142314990513,2253.0,1.0,89.0,3.0,527,-2.1085294195414015,14.807407624168944,0.1300609515517596,8.854326230366564,2.1773164011159487,3.6743722889903427,4.275142314990513,-1.25559893350066,-3.589694649950127,-2.4226467917253935
19,1312000133,4.966273053846316,2358.979700577,2.99,5.99,5.28,3.2021052631578946,1521.0,1.0,66.0,3.0,475,-1.3154862078418352,9.735168969869274,0.08995570905090486,5.801865208422187,1.8554065848966808,2.7894017924643846,3.202105263157894,-1.1624169027646483,-2.849785927289133,-2.0061014150268903
20,1312000258,4.8328626412436435,2281.111166667,2.99,5.99,4.99,2.8834745762711864,1361.0,1.0,61.0,2.0,472,-1.299355972748762,9.163083514645473,0.08692673486251049,5.278009156126675,1.3799412378803888,2.6792972106291506,2.8834745762711878,-1.2454455133621494,-3.2984704819222213,-2.2719579976421853
